review_status,display_tier,kevin_manual_tier,ai_prescreen_tier,company,category,location,website,email,phone_whatsapp,product_fit,huasue_series_fit,recommended_angle,recommended_first_channel,contact_status,followup_status,next_action,background_research_status,scale_check_status,revenue_status,social_media_status,kevin_feedback_notes,feedback_source,source_notes
已审核,T1,T1,,Oriental Food Industries Sdn Bhd,bakery_biscuit_cookie,"No. 65, Jalan Usaha 7, Ayer Keroh Industrial Estate, 75450 Melaka, Malaysia",https://www.ofih.com.my/contact-us/,info@ofi.com.my; hrd@ofi.com.my,+606-231 0333,"Biscuits, cakes, wafers, snacks, assorted packs",T/J first; F/E optional,"Wafer/biscuit assorted packaging: inner tray, clear display, promotion pack",Email,drafted_not_sent,drafted_not_sent,Send targeted email or call +606 231 0333,not_started,not_checked,not_checked,not_checked,Opportunity exists but not fully confirmed.,kevin_selection_feedback_round_2026-07-05.md,"Drafted targeted email for Oriental Food. Product categories: biscuits, cakes, snacks, wafers. Angle: T-series tubs, J-series samples, PET jars, clear containers, trays; request packaging/purchasing/product development contact."
已审核,T1,T1,,Radiant Chocolate & Food Industries Sdn Bhd,chocolate manufacturer / chocolate manufacturer; food_direct_customer / food_sweet_expanded,Kedah / Malaysia / FDM featured,https://radiantfood.com.my/contact-us/ / https://www.fooddrinksmalaysia.com/who-exhibits/,sales@radiantfood.com.my,+604-4211234 / +6012-8926928 WhatsApp,chocolate and food products,F/E first; T/J optional,"chocolate PET jars, gift packs, clear boxes, festive retail packaging / PET jars, clear boxes, festive gift packaging",Email/WhatsApp,needs_contact_research / email_bounced_corrected_draft_ready,email_bounced_corrected_draft_ready,Original sales@radiantfood.com bounced because domain is not usable for mail; new Gmail draft r2337989519266554577 created for sales@radiantfood.com.my; follow up by WhatsApp +6012-8926928 / 先核验官网/联系人/采购负责人；再决定是否开发 / Verify website/contact; check company scale and whether buyer/procurement contact exists before outreach.,not_started,not_checked,not_checked,not_checked,Potential for custom packaging.,kevin_selection_feedback_round_2026-07-05.md,"FDM2026 official featured brands: Official FDM2026 who-exhibits page lists this brand under Featured Brands. / Third batch food/sweet focus. Category: chocolate manufacturer. Angle: chocolate PET jars, gift packs, clear boxes. Website added in signature. 2026-07-03 email domain corrected after bounce."
已审核,T1,T1,,SHOON FATT BISCUIT & CONFECTIONERY FACTORY SDN. BHD.,biscuit confectionery manufacturer,Perak Malaysia,https://www.shoonfatt.com,,,,T/J first; F/E optional,Plastic tray PET/PP box bakery display packaging,Website/contact discovery,,uncontacted / 未跟进-待背景调查,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,not_started,not_checked,not_checked,not_checked,Good biscuit/confectionery target.,kevin_selection_feedback_round_2026-07-05.md,
已审核,T1,T1,,Sweetkiss Food Industry Sdn. Bhd.,chocolate confectionery manufacturer / food_sweet_expanded,Semenyih Selangor Malaysia,https://www.sweetkissfood.com/,info@sweetkissfood.com,+603-8724 4188 / +603-8724 4688,chocolates and snack products,F/E first; T/J optional,"chocolate gift boxes, clear PET jars, candy display containers, festive packs",Email,drafted_not_sent,drafted_not_sent,Review/send Gmail draft r6667479046208997717; then follow up by WhatsApp/phone where available,not_started,not_checked,not_checked,not_checked,Product review suggests good opportunity.,kevin_selection_feedback_round_2026-07-05.md,"Third batch food/sweet focus. Category: chocolate and snack products. Angle: chocolate gift boxes, clear PET jars, candy display containers. Website added in signature."
未审核-AI预筛,T1 AI_prescreen,,T1 AI_prescreen,Hup Seng,bakery_biscuit_cookie,"14, Jalan Kilang, Kawasan Perindustrian Tongkang Pecah, 83010 Batu Pahat, Johor Darul Takzim, Malaysia",https://www.hupseng.com/contact-us,hupseng@hupseng.com; shirleytio@hupseng.com,+607-415 1211,"Crackers, biscuits, family packs, gift tins, inner trays",T/J first; F/E optional,New product/festive packaging trial rather than replacing mature mass packaging,WhatsApp/phone first,,uncontacted / 已提交-无WhatsApp,Follow up by email or phone; no WhatsApp available,not_started,not_checked,not_checked,not_checked,,,
未审核-AI预筛,T1 AI_prescreen,,T1 AI_prescreen,Khong Guan Biscuit Factory (Johore) Sdn Bhd,bakery_biscuit_cookie,"PLO 16, Senai Industrial Estate, 81400 Senai, Johore, Malaysia",https://www.khongguan.com.my/email-us/,emailus@khongguan.com.my,1800-22-6188,"Biscuits, family packs, gift packs, tins, inner tray",T/J first; F/E optional,Gift packs and family packs: plastic tray/clear pack as seasonal alternative,WhatsApp/phone first,,uncontacted / 未跟进-待背景调查,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,not_started,not_checked,not_checked,not_checked,,,
未审核-AI预筛,T1 AI_prescreen,,T1 AI_prescreen,London Biscuits,snack_confectionery,Johor,https://www.londonbiscuits.com.my/,,,"biscuits, cakes, snack products",T/J first; F/E optional,"cake tray, biscuit display box",Website/contact discovery,,uncontacted / 未跟进-待背景调查,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,not_started,not_checked,not_checked,not_checked,,,
未审核-AI预筛,T1 AI_prescreen,,T1 AI_prescreen,Zhen Mei Wei Sauce Manufacturing,food_oem_private_label / sauce_condiment_oem,Malaysia,https://zmwfood.com/oem-private-label/ / https://zhenmeiwei.com.my/,zhenmeiwei.food@gmail.com,+6012-2371823 / website/whatsapp/social,OEM/ODM sauces / PP tamper-evident tubs; small tubs/pails; IML sauce containers; foodservice packs,B/T first; A/K optional,"50g-2kg sauce packaging, small tub/pail / PP tamper-evident tubs; small tubs/pails; IML sauce containers; foodservice packs",WhatsApp first / Research / Gmail,research_prepared_not_contacted / gmail_draft_created,gmail_draft_created,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发 / WhatsApp asking for packaging sourcing/sample review person; email only as support / WhatsApp official number and ask for packaging sourcing/sample review person / Review and send Gmail draft r-2273292540181868554; then WhatsApp +6012-2371823,not_started / trial_researched_2026-07-04,not_checked,not_checked,not_checked / checked_links_found / linkedin: unknown; facebook: Official site links Facebook,,,"Strong sauce/OEM fit; use PP tub / IML container angle. / Draft created: draft_id=r-2273292540181868554; message_id=19f2bfe4618a09d6. Attachments: B PP tamper-evident, K PP meal boxes."
已审核,T1-T2,T1-T2,,Bens Chocolate,chocolate brand/manufacturer,Malaysia / FDM featured,https://www.fooddrinksmalaysia.com/who-exhibits/,,,chocolate products,F/E first; T/J optional,"PET jars, clear chocolate gift boxes, inner trays and premium retail display packaging; T/J only if they use tubs or secure PP boxes.",Website/contact discovery,needs_contact_research,uncontacted,Verify website/contact; check company scale and whether buyer/procurement contact exists before outreach.,not_started,not_checked,not_checked,not_checked,T/J can be tested; chocolate category has some fit.,kevin_selection_feedback_round_2026-07-05.md,FDM2026 official featured brands: Official FDM2026 who-exhibits page lists this brand under Featured Brands.
已审核,T1-T2,T1-T2,,Bino Confectionary,confectionery/chocolate; food_direct_customer,Malaysia / FDM featured,https://www.fooddrinksmalaysia.com/who-exhibits/,,,confectionery products,F/E first; T/J optional,"PET jars, transparent candy boxes, confectionery gift packs",Website/contact discovery,needs_contact_research,uncontacted / 未跟进-待背景调查,先核验官网/联系人/采购负责人；再决定是否开发 / Verify website/contact; check company scale and whether buyer/procurement contact exists before outreach.,not_started,not_checked,not_checked,not_checked,Opportunity exists but uncertain.,kevin_selection_feedback_round_2026-07-05.md,FDM2026 official featured brands: Official FDM2026 who-exhibits page lists this brand under Featured Brands.
已审核,T1-T2,T1-T2,,Meika Food Industries Sdn. Bhd.,chocolate confectionery snack manufacturer,Balakong Selangor Malaysia,https://www.meikafoods.com/,,+603 8941 0959,chocolate bars chocolate candy snacks,F/E first; T/J optional,"chocolate/candy PET jars, transparent display boxes, confectionery gift packs",WhatsApp/phone first,,uncontacted / 未跟进-待背景调查,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,not_started,not_checked,not_checked,not_checked,Opportunity exists.,kevin_selection_feedback_round_2026-07-05.md,
已审核,T1/T2,T1/T2,,The Dessert Factory Sdn Bhd / The Dessert Empire,food_sweet_expanded,Shah Alam Selangor,https://thedessertempire.com/contact,sales_msia@thedessertempire.com,+60 113 614 9847,frozen desserts and ice cream OEM,F/E first; T/J optional,"frozen dessert cups, PP tubs, clear dessert cups, retail frozen dessert packs",Email,drafted_not_sent,drafted_not_sent,Review/send Gmail draft r5100666088716053830; then follow up by WhatsApp/phone where available,not_started,not_checked,not_checked,not_checked,More aligned than the above prepared/sauce leads.,kevin_selection_feedback_round_2026-07-05.md,"Third batch food/sweet focus. Category: frozen dessert OEM. Angle: frozen dessert cups, PP tubs, clear dessert cups, retail frozen dessert packs. Website added in signature."
已审核,T1-T2,T1-T2,,TSC Chocolate Manufacturing Sdn Bhd,food_sweet_expanded,Shah Alam Selangor,https://tscchocolate.com/contact-us/,enquiry@tscchocolate.com,+603 7846 0010 / +603 7848 3010,OEM chocolate manufacturing,F/E first; T/J optional,"chocolate gift boxes, PET jars, clear retail boxes, inner trays, premium sample packs",Email,drafted_not_sent,drafted_not_sent,Review/send Gmail draft r7526332751275902614; then follow up by WhatsApp/phone where available,not_started,not_checked,not_checked,not_checked,OEM factory; unsure whether they can use HUASUE packaging.,kevin_selection_feedback_round_2026-07-05.md,"Third batch food/sweet focus. Category: chocolate OEM. Angle: chocolate gift boxes, PET jars, clear retail boxes, inner trays. Website added in signature."
已审核,T1/T2,T1/T2,,Viki Food Industries Sdn Bhd,bakery_biscuit_cookie,"Lot 103, Jalan Timur 4, Kawasan Perusahaan Mergong 2A, 05150 Alor Setar, Kedah, Malaysia",https://www.vikifood.com/contactus/,info@vikifood.com,+604-733 1694,"Wafer roll and cookie sticks, long-shape anti-breakage tray, clear box",T/J first; F/E optional,"Wafer/cookie stick protection: insert tray, rigid clear box, transport loss reduction",Email,sent,sent,Email sent from Gmail draft r-6385701129765185247; then WhatsApp light follow-up if no reply,not_started,not_checked,not_checked,not_checked,Suitable for T/J series.,kevin_selection_feedback_round_2026-07-05.md,Gmail draft created. Angle: long wafer/cookie stick trays and clear retail boxes. WhatsApp 60194444333 available. User confirmed all first-batch drafts were sent on 2026-07-03.
已审核,T1-T2,T1-T2,,Yong Mama Food Industries Sdn Bhd,bakery_biscuit_cookie / food_oem_private_label / snack_cookie_oem_export / website_form_second_channel,"Block A, No.1, Jalan PJU9/1, Damansara Avenue, Bandar Sri Damansara, PJU9, 52200 Kuala Lumpur, Malaysia",https://www.yongmama.com.my/contact-us/,"hi@yongmama.com.my; export@yongmama.com.my / hi@yongmama.com.my, export@yongmama.com.my",+603-5525 4377,"Snack, confectionery, Nyonya cassava cookies, OEM services",T/J first; F/E secondary; B/T alternate,"T/J first for Nyonya Cassava Cookies jar/tub style, festive snack packs and OEM/private-label packaging; F/E only if clear display is requested.",Email / Website,homepage_contact_form_prepared_pending_submission / email_sent,homepage_contact_form_prepared_pending_submission,Email sent from Gmail draft r2781368040528818225; then WhatsApp/call follow-up / Submit official website form as second channel; then WhatsApp/call +6013-222 9383 or call +603-5525 4377 if no response.,not_started,not_checked,not_checked,not_checked,"No obvious bucket use now, but product type can fit T/J series.",kevin_selection_feedback_round_2026-07-05.md,"Gmail draft created. Duplicated in bakery and OEM pools; created one draft only. Angle: clear containers, retail multi-SKU packs, snack tubs and sample-ready packaging. User confirmed all first-batch drafts were sent on 2026-07-03. / Email already sent on 2026-07-03 from draft r2781368040528818225. Website evidence: Prawn Muruku, Nyonya Cassava Cookies, OEM customisation, export services. Product angle sharpened: T/J first, F/E secondary, B/T alternate."
已审核,T2,T2,,ES Food Industries Sdn Bhd,food manufacturer; food_direct_customer,Malaysia,https://www.fooddrinksmalaysia.com/exhibitors-list/,,,food products,Supply-chain outsourcing; not HUASUE-only,"food containers, retail packs, paper bags",Website/contact discovery,needs_contact_research,uncontacted / 未跟进-待背景调查,先核验官网/联系人/采购负责人；再决定是否开发 / Verify official site/contact; determine whether they are direct buyer or channel; check revenue/size if large enough.,not_started,not_checked,not_checked,not_checked,"Possible opportunity, especially small tub/pail direction, but needs SKU/package verification because it also has paste/canned/ready-prepared product lines.",kevin_selection_feedback_round_2026-07-06.md,FDM official exhibitors list 2024/2025: Official FDM exhibitors list includes this company in Malaysia entries.
已审核,T1-T3 long-term,T1-T3 long-term,,Mamee,noodles / snacks / confectionery,Malaysia local/regional brand,,,,,F/E first; T/J optional,PP tubs / snack containers / PET jars / promotional packs,Background/contact research first,,uncontacted,Check whether already in customer pool; find packaging/R&D/procurement contacts; add to food-direct priority if missing,not_started,not_checked,not_checked,not_checked,"Worth building a file and long-term follow-up, but current visible product formats are mostly soft packs, chips/foil-paper type snack packs, noodles, beverages and food-service products. Need to watch for new product/packaging ideas rather than push standard injection packaging.",kevin_selection_feedback_round_2026-07-06.md,Strong Malaysia fit; likely worth direct development.
已审核,T1-T3 long-term,T1-T3 long-term,,Mamee-Double Decker,snack_confectionery,Melaka,https://mamee.com/,,,"snacks, confectionery, instant noodles",F/E first; T/J optional,"PET jars, PET clear boxes and premium gift/display packaging; T/J only if they use tubs or secure PP boxes.",Website/contact discovery,,uncontacted / 未跟进-待背景调查,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,not_started,not_checked,not_checked,not_checked,"Worth building a file and long-term follow-up, but current visible product formats are mostly soft packs, chips/foil-paper type snack packs, noodles, beverages and food-service products. Need to watch for new product/packaging ideas rather than push standard injection packaging.",kevin_selection_feedback_round_2026-07-06.md,
已审核,T2,T2,,PA Food,food_oem_private_label / frozen_food / food_oem_private_label,Malaysia,https://www.pa-food.com/services/,unknown / marketing@pa-food.com,unknown,"frozen Asian street food, OEM/private label / PP tamper-evident tubs; PP meal boxes/trays; frozen pastry / ready-to-cook packaging",C/E first; T/J optional,OEM frozen food packaging and lidded tray / PP tamper-evident tubs; PP meal boxes/trays; frozen pastry / ready-to-cook packaging,LinkedIn + website form + phone discovery / Research / Gmail,research_prepared_not_contacted / gmail_draft_created,gmail_draft_created,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发 / Find named R&D/packaging/procurement contact before generic email; ask who handles packaging sample testing / Find named R&D/packaging/procurement contact; use LinkedIn + phone/website form before generic email / Review and send Gmail draft r-4991955581729466635; then WhatsApp/LinkedIn follow-up if available,not_started / trial_researched_2026-07-04,not_checked,not_checked,not_checked / checked_partial_links_found / linkedin: LinkedIn search found factory manager / R&D-product development / export-international sales signals; facebook: unknown,"Prepared-food type; keep, but not top tier.",kevin_selection_feedback_round_2026-07-05.md,"PA Food has strong export/import signal and frozen/OEM fit; generic contact not enough. / Draft created: draft_id=r-4991955581729466635; message_id=19f2bfda35c38ed2. Attachments: B PP tamper-evident, K PP meal boxes."
已审核,T2,T2,,Skinny Bakers Group Sdn Bhd,bakery; food_direct_customer / bakery_cookie_gift / cookies / corporate_gifting / OEM_private_label,Malaysia,https://www.fooddrinksmalaysia.com/exhibitors-list/ / https://theskinnybakers.com/,admin@theskinnybakers.com,+60175003216 / website/linkedin/instagram/whatsapp,bakery products / PET jars for cookies/gifts; PET transparent boxes for event favours; seasonal packs,T/J first; F/E optional,"clear bakery containers, paper bags, cake boxes / PET jars for cookies/gifts; PET transparent boxes for event favours; seasonal packs",WhatsApp + founder/social route / Research / Gmail / Website,needs_contact_research / research_prepared_not_contacted / gmail_draft_created / homepage_contact_form_info_prepared_pending_submission,homepage_contact_form_info_prepared_pending_submission,先核验官网/联系人/采购负责人；再决定是否开发 / Verify official site/contact; determine whether they are direct buyer or channel; check revenue/size if large enough. / WhatsApp first; email admin; LinkedIn founder if no reply / WhatsApp first; email admin; LinkedIn founder/social route if no reply / Review and send Gmail draft r-7056414748667318269; then WhatsApp +60175003216 / founder route / Submit Wholesale & Private Label Enquiries form normally; use hCaptcha if shown; then WhatsApp +60175003216 if no reply.,not_started / trial_researched_2026-07-04,not_checked,not_checked,not_checked / checked_founder_social_signal / linkedin: LinkedIn result lists Founder & Managing Director Eniza Fasiha Ellias; company size 11-50; facebook: unknown,Soft pouch/paper box common; keep but lower.,kevin_selection_feedback_round_2026-07-05.md,"FDM official exhibitors list 2024/2025: Official FDM exhibitors list includes this company in Malaysia entries. / Cookie/gifting fit; founder-led route stronger than procurement route. / Draft created: draft_id=r-7056414748667318269; message_id=19f2bfef6aaf4cf4. Attachments: F PET jars, E PET boxes. / Homepage contact form info prepared. Use Wholesale & Private Label Enquiries, not Career & Internship. Product angle corrected: T/J first, F/E secondary."
已审核,T1-T3,T1-T3,,Symphony Confect,confectionery manufacturer; food_direct_customer,Malaysia / FDM featured,https://www.fooddrinksmalaysia.com/who-exhibits/,,,confectionery products,F/E first; T/J optional,"candy PET jars, transparent display containers, gift packs",Website/contact discovery,needs_contact_research,uncontacted / 未跟进-待背景调查,先核验官网/联系人/采购负责人；再决定是否开发 / Verify website/contact; check company scale and whether buyer/procurement contact exists before outreach.,not_started,not_checked,not_checked,not_checked,Not a simple stock-item lead. Route should be custom mold / custom packaging. Website/product impression suggests they have their own packaging aesthetics and higher design requirements.,kevin_selection_feedback_round_2026-07-06.md,FDM2026 official featured brands: Official FDM2026 who-exhibits page lists this brand under Featured Brands.
已审核,T2,T2,,Tealive Malaysia,beverage chain; supply_chain_outsourcing,Malaysia,https://mifb.com.my/mycafeexpo/,,,beverage/franchise chain,Supply-chain outsourcing; not HUASUE-only,"paper cups, cup carriers, nonwoven bags, branded takeaway bags",Website/contact discovery,needs_contact_research,uncontacted / 未跟进-待背景调查,先核验官网/联系人/采购负责人；再决定是否开发 / Verify buyer/procurement contact and current packaging; classify as supply-chain outsourcing opportunity.,not_started,not_checked,not_checked,not_checked,"Cup lids, paper cups, milk-tea cups, nonwoven bags, paper bags.",kevin_selection_feedback_round_2026-07-05.md,"Malaysia Café Expo ecosystem target: MCE official page states it covers cafe owners, roasters, suppliers, bakery/pastries, snacks/confectionery and cafe franchise/licensing brands; these are target ecosystem companies, not confirmed exhibitor names."
未审核-AI预筛,T2 AI_prescreen,,T2 AI_prescreen,Custom Food Ingredients,food_oem_private_label,Malaysia,https://customfoodingredients.com/,,,food ingredients and solutions,B/T first; A/K optional,"ingredient tubs, sample containers, B2B food pack",Website/contact discovery,,uncontacted / 未跟进-待背景调查,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,not_started,not_checked,not_checked,not_checked,,,
未审核-AI预筛,T2 AI_prescreen,,T2 AI_prescreen,LHP Packaging Sdn Bhd,peer_manufacturer,Malaysia,https://www.lhppackaging.com/,,,Plastic injection moulding company producing disposable takeaway plastic food containers,Needs product-format check,K-series general items; T-series tubs; J-series packaging; complementary/overflow selected SKU cooperation,Website/contact discovery,,uncontacted / 未跟进-待背景调查,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,not_started,not_checked,not_checked,not_checked,,,
