workbench_id,row_id,source_pool,original_review_status,original_tier,company,category,location_or_country,booth,website,email,phone_whatsapp,product_packaging_signal,huasue_route,recommended_angle,risk_to_check,first_action,kevin_feedback_notes,source_link,source_notes
WB011,N009,new_nonduplicate_90,未审核-新候选,T0,"FUJIAN MAIXIANGYUAN FOODS CO., LTD",packaged food exhibitor,CHINA,2C048A HALL 2,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB012,N019,new_nonduplicate_90,未审核-新候选,T0,"FUJIAN YIDA FOOD CO., LTD.",packaged food exhibitor,CHINA,4R292B HALL 4,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB013,N017,new_nonduplicate_90,未审核-新候选,T0,"FUZHOU XIAOER INTERNATIONAL FOOD CO., LTD.",packaged food exhibitor,CHINA,3J154 HALL 3,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB014,N020,new_nonduplicate_90,未审核-新候选,T0,"FUZHOU XUHUANG FOODS CO., LTD",packaged food exhibitor,CHINA,4R292F HALL 4,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB015,N004,new_nonduplicate_90,未审核-新候选,T0,GOKMAVI PISMANIYE VE SEKERLEME GIDA LTD. STI.,sweets / confectionery exhibitor,TURKIYE,2D067A HALL 2,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,E/F PET clear boxes and jars; custom rigid gift/display packaging; T/J only if snack tubs or secure boxes appear.,"Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB016,N022,new_nonduplicate_90,未审核-新候选,T0,"HENAN EVER GLORY FOOD CO., LTD",packaged food exhibitor,CHINA,4P263A HALL 4,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB017,N021,new_nonduplicate_90,未审核-新候选,T0,"HONG BAR (SHANDONG) FOOD TECHNOLOGY CO., LTD",packaged food exhibitor,CHINA,4P258 HALL 4,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB018,N002,new_nonduplicate_90,未审核-新候选,T0,LEO SNACKS & NUTS INDUSTRY,nuts / snack foods exhibitor,MALAYSIA,2G114 HALL 2,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"F PET jars, T PP tubs, E clear gift boxes for nuts/snack products.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB019,N003,new_nonduplicate_90,未审核-新候选,T0,LOKE KEE BISCUITS AND CAKE SHOP SDN. BHD.,biscuit / bakery / wheat snack exhibitor,MALAYSIA,2G113 HALL 2,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,T/J first for biscuit/cookie/snack packs; E/F for clear display or jars; C/E if cake display appears.,"Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB020,N010,new_nonduplicate_90,未审核-新候选,T0,"LONGHAI JIALE FOOD CO., LTD.",packaged food exhibitor,CHINA,3J159 HALL 3,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB021,N011,new_nonduplicate_90,未审核-新候选,T0,"LONGHAI JINSHUNLAI FOOD CO., LTD",packaged food exhibitor,CHINA,3H152A HALL 3,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB022,N001,new_nonduplicate_90,未审核-新候选,T0,MASON CHOCOLATES,chocolate / confectionery exhibitor,INDONESIA,1F087 HALL 1,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,E/F PET clear boxes and jars; custom rigid gift/display packaging; T/J only if snack tubs or secure boxes appear.,"Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB023,N012,new_nonduplicate_90,未审核-新候选,T0,"MINGLINYUAN FOOD (ZHANGZHOU) CO., LTD",packaged food exhibitor,CHINA,3J160 HALL 3,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB024,N029,new_nonduplicate_90,未审核-新候选,T0,"QINHUANGDAO YANSHAN CHESTNUT CO., LTD.",nuts / snack foods exhibitor,CHINA,4R291 HALL 4,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"F PET jars, T PP tubs, E clear gift boxes for nuts/snack products.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB025,N026,new_nonduplicate_90,未审核-新候选,T0,QUICE FOOD INDUSTRIES LTD PAKISTAN,packaged food exhibitor,PAKISTAN,PAKISTAN 4Q278 HALL 4,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB026,N005,new_nonduplicate_90,未审核-新候选,T0,ROTHE CIKOLATA VE SEKERLEME SAN. VE TIC. LTD.STI.,chocolate / confectionery exhibitor,TURKIYE,2D065 HALL 2,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,E/F PET clear boxes and jars; custom rigid gift/display packaging; T/J only if snack tubs or secure boxes appear.,"Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB027,N023,new_nonduplicate_90,未审核-新候选,T0,"SHANDONG AIMO FOOD CO., LTD",packaged food exhibitor,CHINA,4P255 HALL 4,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB028,N024,new_nonduplicate_90,未审核-新候选,T0,"SHANDONG XI ER JIA FOOD CO., LTD",packaged food exhibitor,CHINA,4P257 HALL 4,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB029,N030,new_nonduplicate_90,未审核-新候选,T0,"SHANXI QINGTANG FOOD CO., LTD",packaged food exhibitor,CHINA,3K175 HALL 3,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB030,N027,new_nonduplicate_90,未审核-新候选,T0,SIX-B FOODS INDUSTRIES,packaged food exhibitor,PAKISTAN,4Q280 HALL 4,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB031,N028,new_nonduplicate_90,未审核-新候选,T0,"TANGSHAN SHANGHEGU CHESTNUT DEVELOPMENT CO., LTD",nuts / snack foods exhibitor,CHINA,3H143 HALL 3,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"F PET jars, T PP tubs, E clear gift boxes for nuts/snack products.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB032,N014,new_nonduplicate_90,未审核-新候选,T0,"XINXIANGCITY KOUKOUMIAO FOOD CO.,LTD.",packaged food exhibitor,CHINA,3N234 HALL 3,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB033,N008,new_nonduplicate_90,未审核-新候选,T0,"YAJIAFU（FUJIAN） FOODS CO.,LTD.",packaged food exhibitor,CHINA,2C048B HALL 2,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB034,N007,new_nonduplicate_90,未审核-新候选,T0,"ZHANGZHOU FRESH FROM WHEAT FOOD CO., LTD.",biscuit / bakery / wheat snack exhibitor,CHINA,3J153 HALL 3,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,T/J first for biscuit/cookie/snack packs; E/F for clear display or jars; C/E if cake display appears.,"Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
