priority_action,final_tier,company,sources,route_included,route_area,route_seq,size_class,customer_type,fit_product,phone,email,website,maps,address,has_maps,has_phone,has_email,open_status,distance_km,review_status,contact_status,followup_status,gmail_draft_id,next_action,risk,notes,photo_paths,entity_key,tier_group,country_scope,channel_track,data_confidence,last_updated
Find contact,T0/T1,Benns Ethicoa Chocolate Factory Sdn Bhd,2026-07-17 corrected Google Maps discovery,No,,,,巧克力/可可/糖果,T/J系列、PET罐/盒、礼品展示包装；代工厂可问定制包装,03-6188 9992,,,https://www.google.com/maps/place/Benns+Ethicoa+Chocolate+Factory+Sdn+Bhd/data=!4m7!3m6!1s0x31cdcbb9d0cdad01:0x61808efa8896d10d!8m2!3d3.0590814!4d101.7690246!16s%2Fg%2F11hdrr08l_!19sChIJAa3N0LnLzTERDdGWiPqOgGE?authuser=0&hl=zh-CN&rclk=1,"制造商 · 7, Jalan 7/7",Yes,Yes,No,,,Google Maps screened,Not contacted,Not started,,优先问包装开发/采购，是否有礼品装、透明罐、节日桶装 SKU,,"4.6(51); chocolate factory Selangor Malaysia; confectionery manufacturer Selangor Malaysia; 已在总表/前批地图; Benns Ethicoa Chocolate Factory Sdn Bhd; 制造商 · 7, Jalan 7/7; 已结束营业 · 开始营业时间：周六10:00 · 03-6188 9992; ; 网站; ; 路线",,bennsethicoachocolatefactory,T0,Malaysia,rigid_food_packaging,Medium,2026-07-21
Route now,T0,Beryl’s Chocolate & Confectionery Sdn Bhd,160 T0/T1整合池; 跟进状态表; 超市实拍; 2026-07-18 consolidated master; Google Maps 105筛选池; 2026-07-20 field visit plan; 2026-07-17 corrected supermarket research; 2026-07-17 corrected Google Maps discovery; 2026-07-12 offsite visit pool,Yes,A4 KL / Cheras / Batu Caves; 2026-07-20 field route; KL / Selangor,4,Small/unclear - lower priority,巧克力/糖果/甜品制造 | Chocolate / confectionery,"Chocolate gift, retail and corporate packs fit PET clear boxes, jars and premium rigid display packaging.; T/J + PET clear boxes / gift packaging; T/J系列、PET罐/盒、礼品展示包装；代工厂可问定制包装; 集团零售巧克力/曲奇：T/J桶与防盗盒、PET罐/透明礼盒、节庆包装；Gourmet原料线可问大规格PP桶及定制模具。; T/J系列；PET透明盒/罐；礼盒样品装",+(60)3-8943 6136; +603-8925 6136; +603-8943 6136; 03-8958 6136,berylsgourmet@berylschocolate.com / henry@berylschocolate.com; beryls@berylschocolate.com,https://berylschocolate.com/contact-us/,https://www.google.com/maps/place/Beryl%27s+Chocolate+Sungei+Wang+Plaza/data=!4m7!3m6!1s0x31cc36293e11fda5:0x5db276758d5322d4!8m2!3d3.1448736!4d101.7111643!16s%2Fg%2F11bzt5x0p7!19sChIJpf0RPik2zDER1CJTjXV2sl0?authuser=0&hl=zh-CN&rclk=1; https://www.google.com/maps/place/Beryl%E2%80%99s+Chocolate+-+Pavilion+KL+Outlet/data=!4m7!3m6!1s0x31cc362c712f0d81:0x2386f8ca69dbdba9!8m2!3d3.148069!4d101.7128938!16s%2Fg%2F11j4lj4_zl!19sChIJgQ0vcSw2zDERqdvbacr4hiM?authuser=0&hl=zh-CN&rclk=1; https://www.google.com/maps/search/?api=1&query=No.%208%20%26%208-1%2C%20Jalan%209%2F1%2C%20Seksyen%209%2C%2043650%20Bandar%20Baru%20Bangi%2C%20Selangor%2C%20Malaysia; https://www.google.com/maps/place/Beryl%27s+Cookies+Factory/data=!4m7!3m6!1s0x31cdcaa23eb45fdf:0xd857be7b362b6e08!8m2!3d3.0206025!4d101.711626!16s%2Fg%2F1th59298!19sChIJ31-0PqLKzTERCG4rNnu-V9g?authuser=0&hl=zh-CN&rclk=1; https://www.google.com/maps/search/?api=1&query=2%2C%20Jalan%20Raya%207/1%2C%20Kawasan%20Perindustrian%20Seri%20Kembangan%2C%2043300%20Seri%20Kembangan%2C%20Selangor%2C%20Malaysia,"巧克力店 · Lot LG 134, Sungai Wang Plaza, Jln Sultan Ismail; 巧克力店 · 107 . 00, Lot TL1, 168, Jln Bukit Bintang; No. 8 & 8-1, Jalan 9/1, Seksyen 9, 43650 Bandar Baru Bangi, Selangor, Malaysia; Seri Kembangan, Selangor; 巧克力工厂 · Lot 1, Jalan 6/4; 2, Jalan Raya 7/1, Kawasan Perindustrian Seri Kembangan, 43300 Seri Kembangan, Selangor, Malaysia",Yes,Yes,Yes,周六可跑 周六10:00,20.8,Photo mapping corrected,超市来源邮箱待核验；旧草稿禁止发送,contact_discovery_required,r1472908214176198971,就在 Chocofac 周边，必须组成同一站群。Bangi 工厂主营食品服务巧克力原料；现场重点是找集团 packaging procurement 或取得 Seri Kembangan 零售包装团队转介。,,"Beryl’s图片只保留034、129；143蜂蜜、156 Roshen已移除; New T0/T1 batch2 Gmail draft created; EMAIL HOLD 2026-07-18: 超市实拍来源邮箱未核验，原邮箱=beryls@berylschocolate.com; 315 reviews; retail/shop; 178 reviews; We manufacture PP/PET food packaging in Thailand. Since Beryl's uses canister and seasonal gift packaging across the group, may I meet the person responsible for packaging sourcing, or get the contact of the packaging procurement team at your Seri Kembangan headquarters?; Beryl’s; 巧克力盒/礼品装/零售包装; 马来西亚本地巧克力制造，产品有礼品与零售展示属性，适合定制塑料展示包装。; 官网总部联系方式；采购未确认; MATRADE页显示 Contact Person: Mr. Ting Sii Liong；LinkedIn可继续查采购/包装负责人; 4.2(315); chocolate factory Kuala Lumpur Malaysia; 新地图线索; Beryl's Chocolate Sungei Wang Plaza; 巧克力店 · Lot LG 134, Sungai Wang Plaza, Jln Sultan Ismail; 已结束营业 · 开始营业时间：周六10:00; 门店服务; ; 移动地图时更新搜索结果; ; 图像 © 2026 ，地图数据 © 2026 Google马来西亚条款隐私权发送产品反馈; 2公里; 4.4(178); Beryl’s Chocolate - Pavilion KL Outlet; 巧克力店 · 107 . 00, Lot TL1, 168, Jln Bukit Bintang; 4.3(84); cookie manufacturer Selangor Malaysia; 已在总表/前批地图; Beryl's Cookies Factory; 巧克力工厂 · Lot 1, Jalan 6/4; 已结束营业 · 开始营业时间：周一08:00 · 03-8958 6136; ; 网站; ; 路线; NO_KNOWN_BOOTH / 展会外处理; 草稿待发送; No confirmed appointment",/Users/kevin/Desktop/超市实拍/CEC9A533-4396-41E7-B79B-438D5AD83AF1_4_5005_c.jpeg; /Users/kevin/Desktop/超市实拍/FC2A9317-950C-4B35-B48D-87C51008AECB_4_5005_c.jpeg,berylschocolateandconfectionery,T0,Malaysia / event-discovered; Malaysia,pet_packaging; rigid_food_packaging,High,2026-07-21
Develop contact,T0,Boat Noodle / U5FB,2026-07-12 Malaysia F&B chain pool; 2026-07-12 export-scale hot soup pool,No,,,49-50+ Boat Noodle outlets; 20 Chill Chill kiosks; 25+ outlets,Thai boat noodle / soup noodle chain,"排气阀餐盒；汤面外卖碗；纸袋/外卖袋; High: noodle soup delivery, mall outlets, halal chain, national scale.",,,https://u5fb.com/,,,No,No,No,,,待深挖/待联系 | main_attack,Not contacted,Not started,,Contact U5FB HQ procurement/operations; ask current soup takeaway bowl leakage and monthly bowl usage. | Contact U5FB HQ at Sunway Damansara; ask procurement/operations packaging PIC.,,"汤面类、多门店、总部集团 U5FB，包装标准化可能较高。; Large enough to test centralized container supply if HQ approves; likely enough monthly consumption for export MOQ.; Medium: need HQ procurement, not single outlet.; Hot soup valve + takeaway bowl; possible paper bag/cutlery route; 25+ outlets",,boatnoodleu5fb,T0,Malaysia,hot_soup_valve; external_sourcing; rigid_food_packaging,Medium,2026-07-21
Develop contact,T0/T1,By Dr Cookies Trading Sdn Bhd,2026-07-21 Isetan field photo CTOS and social research; 2026-07-21 field photo customer enrichment,No,Johor / Batu Pahat,,Growing Johor cookie manufacturer and online seller with direct tub use,Biscuits cookies and online retail,T/J clear tamper-evident PP tubs with lid and body decoration,+60 11-1070 3289,,https://www.lemon8-app.com/@by.dr.cookies?region=us,,,No,Yes,No,,,Legal entity and direct packaging use reviewed,Not contacted,Not started,,WhatsApp founder team and ask monthly tub usage packaging PIC and sample review.,Company incorporated in 2024; scale must be validated before committing tooling.,Field photo shows multiple Kapit Roll SKUs packed directly in clear round tubs; public profile lists Batu Pahat contact.,assets/field-photos-2026-07-21/dr-cookies-tubs.jpg,bydrcookiestrading,T0,Malaysia,rigid_food_packaging,Medium,2026-07-21
Find contact,T0/T1,Cadbury Confectionery Malaysia Sdn Bhd·已访问的链接,2026-07-17 corrected Google Maps discovery,No,,,,巧克力/可可/糖果,T/J系列、PET罐/盒、礼品展示包装；代工厂可问定制包装,03-5544 5200,,,https://www.google.com/maps/place/Cadbury+Confectionery+Malaysia+Sdn+Bhd/data=!4m7!3m6!1s0x31cc52bd42503ca5:0x79dc0ab8ee812d5e!8m2!3d3.0542632!4d101.5122185!16s%2Fg%2F11b77k3vnm!19sChIJpTxQQr1SzDERXi2B7rgK3Hk?authuser=0&hl=zh-CN&rclk=1,Cadbury Confectionery Malaysia Sdn Bhd·已访问的链接,Yes,Yes,No,,,Google Maps screened,Not contacted,Not started,,优先问包装开发/采购，是否有礼品装、透明罐、节日桶装 SKU,,"4.0(184); chocolate factory Klang Malaysia; chocolate factory Shah Alam Malaysia; confectionery manufacturer Selangor Malaysia; confectionery manufacturer Shah Alam Malaysia; 已在总表/前批地图; Cadbury Confectionery Malaysia Sdn Bhd·已访问的链接; Cadbury Confectionery Malaysia Sdn Bhd; 巧克力工厂 ·  · 8, Persiaran Raja Muda; 24 小时营业 · 03-5544 5200; ; 网站; ; 路线",,cadburyconfectionerymalaysia,T0,Malaysia,rigid_food_packaging,Medium,2026-07-21
Route now,T0,Chocofac (M) Sdn Bhd,160 T0/T1整合池; 233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master; 2026-07-20 field visit plan; 2026-07-12 offsite visit pool,Yes,2026-07-20 field route; KL / Selangor,3,Field-verified target,chocolate manufacturer; food_direct_customer | 巧克力/糖果/甜品制造,"chocolate manufacturing and outlet; F/E first; T/J optional; chocolate gift boxes, PET jars, clear retail packs, trays / PET jars, clear retail boxes, gift packs, paper bags; PET透明盒/罐、T/J礼品装、巧克力展示包装。",03-8926 9762 / 019-332 8210,sales@chocofac.com,https://www.fooddrinksmalaysia.com/who-exhibits/,https://www.google.com/maps/search/?api=1&query=22%20%26%2024%2C%20Jalan%20P%2F8%2C%20Kawasan%20Perindustrian%20MIEL%2C%20Seksyen%2013%2C%2043650%20Bandar%20Baru%20Bangi%2C%20Selangor%2C%20Malaysia; https://www.google.com/maps/search/?api=1&query=No.22%20%26%2024%2C%20Jalan%20P/8%2C%20Kawasan%20Perindustrian%20MIEL%2C%20Seksyen%2013%2C%2043650%20Bandar%20Baru%20Bangi%2C%20Selangor%2C%20Malaysia,"Bangi Selangor / Malaysia / FDM featured; 22 & 24, Jalan P/8, Kawasan Perindustrian MIEL, Seksyen 13, 43650 Bandar Baru Bangi, Selangor, Malaysia; No.22 & 24, Jalan P/8, Kawasan Perindustrian MIEL, Seksyen 13, 43650 Bandar Baru Bangi, Selangor, Malaysia",Yes,Yes,Yes,,,Field reviewed,needs_contact_research | 草稿待发送,uncontacted / 未跟进-待背景调查,,Draft r-4192155173334558274 created 2026-07-07; customized for chocolate PET jars / clear boxes / gift packaging; invite MIFB booth 2709 or Malaysia visit. | 先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发 / Verify website/contact; check company scale and whether buyer/procurement contact exists before outreach. | Kevin review/send; then call/LinkedIn/website follow-up | CEO/BD 路线可用；先发短连接请求或用电话/邮件跟进,,"Very strong opportunity; chocolate with multiple packaging formats, likely uses injection packaging.; FDM2026 official featured brands: Official FDM2026 who-exhibits page lists this brand under Featured Brands. / 2026-07-07 Gmail outreach update: Draft r-4192155173334558274 created 2026-07-07; customized for chocolate PET jars / clear boxes / gift packaging; invite MIFB booth 2709 or Malaysia visit.; T0/T1 customized Gmail draft created on 2026-07-07; Micheal Dass Adaikalam and Valrie Dass found via Exa/LinkedIn; I saw your chocolate product range and would like to show PET clear boxes, jars and PP gift tubs for chocolate retail or seasonal packs.; NO_KNOWN_BOOTH / 展会外处理; 草稿待发送; No confirmed appointment",,chocofac,T0,Malaysia / event-discovered; Malaysia,rigid_food_packaging,High,2026-07-21
Find contact,T0/T1,Chocolate Factory Outlet & Chocolate Academy Sdn Bhd,2026-07-17 corrected Google Maps discovery,No,,,,巧克力/可可/糖果,T/J系列、PET罐/盒、礼品展示包装；代工厂可问定制包装,,,,https://www.google.com/maps/place/Chocolate+Factory+Outlet+%26+Chocolate+Academy+Sdn+Bhd/data=!4m7!3m6!1s0x31cdc92a8141b671:0x54d0cbbc13582d57!8m2!3d2.9503716!4d101.7537549!16s%2Fg%2F11mz3pv4cr!19sChIJcbZBgSrJzTERVy1YE7zL0FQ?authuser=0&hl=zh-CN&rclk=1,"巧克力店 · 4, Jalan P/8",Yes,No,No,,,Google Maps screened,Not contacted,Not started,,优先问包装开发/采购，是否有礼品装、透明罐、节日桶装 SKU,,"5.0(25); chocolate factory Selangor Malaysia; 已在总表/前批地图; Chocolate Factory Outlet & Chocolate Academy Sdn Bhd; 巧克力店 · 4, Jalan P/8; 已结束营业 · 开始营业时间：周六10:00; 门店服务",,chocolatefactoryoutletandchocolateacademy,T0,Malaysia,rigid_food_packaging,Medium,2026-07-21
Develop contact,T0,Coolblog,2026-07-12 Malaysia F&B chain pool,No,,,Official franchise page says 290+ kiosks; 2025 media says over 300 outlets,咖啡奶茶/饮品连锁,cold cups; dome lids; spoons; straws; carrier bags; mall kiosk consumables,,,https://www.coolblog.com.my/,,,No,No,No,,,待找总部采购联系人,Not contacted,Not started,,Find Coolblog HQ purchasing/franchise operations; prepare kiosk consumables pitch,,Homegrown and franchise-heavy; HQ packaging standards likely exist; Medium-High; Official franchise page says 290+ kiosks,,coolblog,T0,Malaysia,research_only,Medium,2026-07-21
Route now,T0/T1,Dazzle Food Sdn Bhd,31中大型路线池; Google Maps 105筛选池; 2026-07-18 consolidated master; 2026-07-17 corrected Google Maps discovery,Yes,A4 KL / Cheras / Batu Caves; A4 KL / Cheras / Batu Caves east line,3,Medium/Large target,甜品原料/椰果/布丁,PP桶/T系列、小防盗桶；现有圆桶可替换,03-9081 3034,,,https://www.google.com/maps/place/Dazzle+Food+Sdn+Bhd/data=!4m7!3m6!1s0x31cc315891ea85a5:0x3c89d535af0bb445!8m2!3d3.0811781!4d101.7870607!16s%2Fg%2F1tctj8lp!19sChIJpYXqkVgxzDERRbQLrzXViTw?authuser=0&hl=zh-CN&rclk=1,"食品制造商 · No. 5A, Jalan Langat Ceria 4",Yes,Yes,No,周六可跑 周六08:00,30.0,Google Maps screened,Not contacted,Not started,,确认桶装规格、月用量、是否可看样品,,"company/factory/channel; named target; company/factory/channel signal; named medium-large candidate; 3.7(6); jelly pudding manufacturer Selangor Malaysia; 新地图线索; Dazzle Food Sdn Bhd; 食品制造商 · No. 5A, Jalan Langat Ceria 4; 已结束营业 · 开始营业时间：周六08:00 · 03-9081 3034; ; 网站; ; 路线",,dazzlefood,T0,Malaysia / event-discovered; Malaysia,rigid_food_packaging,Medium,2026-07-21
Route now,T0,Desa Southern Food Products Sdn Bhd,160 T0/T1整合池; 跟进状态表; 2026-07-18 consolidated master; 2026-07-12 offsite visit pool,Yes,,,,巧克力/糖果/甜品制造,"Cookie and biscuit products can fit T-series tubs, J tamper-evident boxes, and PET clear display/gift packs.",,,https://desasouthern.com/,,,No,No,No,,,Pending review,Not contacted,Not started,,先电话/WhatsApp确认负责人和地址；如果在同一区域，带 T/J/F/E 或排气阀样品上门。,,Strong direct category fit; verify SKU packaging photos. / Risk: Need contact email; NO_KNOWN_BOOTH / 展会外处理; 待背景调查,,desasouthernfoodproducts,T0,Malaysia / event-discovered; Malaysia,rigid_food_packaging,Medium,2026-07-21
Route now,T0/T1,Doggology,160 T0/T1整合池; 2026-07-18 consolidated master; 2026-07-09 pet packaging pool; 2026-07-12 offsite visit pool,Yes,,,"BURO says made-in-Malaysia premium treats, wide variety of chews, jerkies and tubes.",Single-ingredient premium dog treats and chews,"T/J medium tubs, gift/sample packs",,,Instagram/Facebook via BURO,,"Petaling Jaya, Malaysia",No,No,No,,,Pending review,Use Instagram/Facebook first; find owner/operations contact.,Not started,,Use Instagram/Facebook first; find owner/operations contact.,,Premium physical-store brand; may respond to packaging samples if local visit route available.; Chews may need larger tubs; smaller jerkies can use tubs/jars.; new; NO_KNOWN_BOOTH / 展会外处理; Use Instagram/Facebook first; find owner/operations contact.,,doggology,T0,Malaysia / event-discovered; Malaysia,pet_packaging; rigid_food_packaging,Medium,2026-07-21
